query_id,answer
438,1909 4396 1901 4308 4286 4234 4387 1918 1899 4296
439,2171 4440 2695 2894 2886 4375 2663 4202 4005 2794
440,2646 4219 4214 4395 4424 2962 4384 3026 4205 4396
441,4219 2646 3564 4204 4308 4234 4010 4523 4322 4395
442,4424 4395 2646 4301 4235 4214 4209 4445 4313 4219
443,2696 4400 4361 3689 3088 3055 2831 2962 1966 4387
444,4451 4366 4447 4214 3314 4290 4227 2698 4460 4445
445,3088 4286 4234 3689 3055 4331 4308 1909 3467 4045
446,4423 4346 4364 4221 4223 4202 4232 4247 4404 1846
447,1958 4387 4532 4504 4516 2408 4400 4219 4361 3055
448,4400 2831 4408 1966 4403 4532 2865 4387 2962 2696
449,4387 1958 2696 4403 4400 2521 4219 3078 4409 2831
450,4361 3149 2521 4205 4406 2944 4331 4400 4408 2696
451,4320 3861 4234 2899 3469 4301 4214 2902 4361 4331
452,4219 3127 4384 4389 4308 2646 2962 4361 4440 3564
453,4440 4313 4202 3078 4384 4218 4310 4389 4525 4379
454,4445 3995 4451 4400 2203 4209 4403 4335 4008 2831
455,4234 1951 4362 4361 4045 4214 4204 4308 3467 4219
456,4361 4406 4516 4010 4517 2521 4409 4229 4322 2214
457,4234 4308 4045 1951 3467 4219 4214 4111 2698 4407
458,4354 4220 4320 4243 4319 2918 3862 2232 4317 4372
459,4423 4364 4012 4083 2917 2937 4232 4220 4372 3661
460,4361 4400 2696 2962 4308 4358 4219 3470 1966 2646
461,4395 4214 2646 4424 3088 4219 2962 4205 4045 4361
462,4408 4304 4388 4234 4167 1960 4354 2196 4316 2238
463,4384 3078 4361 3470 4219 4509 4406 2037 3567 4440
464,4332 4401 4406 4525 2721 4458 4409 4202 2696 2962
465,4361 4406 1966 4532 4403 4358 2696 3844 4387 4400
466,4332 4335 2904 3255 3859 4351 2890 4220 3256 2906
467,4234 4045 3689 4046 4153 3055 4050 4331 4361 3088
468,4367 4433 4354 2794 4243 4287 4008 2197 4431 3781
469,2695 2663 4008 3595 3536 4375 2794 4388 3056 3777
470,4400 2831 2962 4408 2865 4532 4361 4440 2696 3088
471,3580 4373 4207 4379 4180 4381 2095 4204 4304 4276
472,4266 4287 3993 3579 4354 4311 2953 4224 4179 2895
473,4440 4202 4313 2214 3470 3750 4222 3078 4384 4205
474,4320 4234 4308 4367 4045 4388 2244 4375 2198 4050
475,4440 2663 4202 2696 2695 2794 2220 4388 2968 2894
476,4440 2220 4373 4008 4202 4276 4219 4207 3128 3643
477,2968 2663 4440 4008 2942 4202 4375 2217 2794 4373
478,1966 2408 3567 4509 4508 2646 4504 2049 1958 2865
479,4328 4403 1909 4234 4407 3467 4050 1918 4153 4133
480,2696 3470 3078 2886 4409 3793 4400 2865 4313 4005
481,2895 2948 2663 4202 4008 4287 3786 4307 2794 4435
482,4395 2802 4335 3932 2204 1901 4009 4424 1923 2408
483,4396 4433 2917 2918 4435 4367 1909 2962 4254 4324
484,3078 2696 4400 4219 3470 2521 4532 4409 4361 2831
485,4400 4532 4361 1966 4408 2696 4358 4387 2962 4403
486,4308 4396 4403 4328 4407 4205 4046 3088 1901 4387
487,4308 4400 4234 4045 4153 4050 4362 4133 1909 3467
488,3467 1951 4214 4532 2698 4234 4050 4153 2665 4320
489,4214 4219 4361 4308 4395 4384 4050 4460 4153 4331
490,4384 4308 4219 3149 4205 4361 4234 2646 4331 3470
491,4395 4424 4219 2646 4409 4308 4214 4361 4050 4153
492,4387 1958 4219 1966 3470 4384 4400 4504 4395 4440
493,4287 3525 4269 4440 2663 4266 3157 4203 2894 4375
494,4214 2698 4308 4366 4290 4234 4050 4227 4153 4111
495,4012 4083 4496 2937 3746 2324 4364 4423 3737 4414
496,4396 4234 4308 4331 3088 4361 4406 2646 1909 4204
497,4395 2521 4424 2944 2696 4508 4214 4403 3843 2646
498,4361 3149 4331 4205 2521 2865 4400 1958 4532 2696
499,4045 4214 3995 4227 2698 1901 4204 4290 4153 4050
500,4362 4045 4433 4204 4435 4234 4050 4153 4235 4214
